External ID,Name,Cost,Sales Price,Barcode,Visible on current website,Image Url
,Prince Mustard Oil 1000 ml,195,210,802565000059,TRUE,https://raw.githubusercontent.com/ShaheenHossain/food_images/master/13.1_Prince_Mustard_Oil_1000ml.jpg
,Prince Mustard Oil 500 ml,102,110,802565000060,TRUE,https://raw.githubusercontent.com/ShaheenHossain/food_images/master/13.2_Prince_Mustard_Oil_500ml.jpg
,Prince Mustard Oil 200 ml,45,55,802565000061,TRUE,https://raw.githubusercontent.com/ShaheenHossain/food_images/master/13.3_Prince_Mustard_Oil_200ml.jpg
,Prince Mustard Oil 80 ml,21,25,802565000062,TRUE,https://raw.githubusercontent.com/ShaheenHossain/food_images/master/13.4_Prince_Mustard_Oil_80ml.jpg
,Prince Honey 500 gm,155,178,802565000063,TRUE,https://raw.githubusercontent.com/ShaheenHossain/food_images/master/14.1_Prince_Honey_500gm.jpg
,Prince Honey 250 gm,80,95,802565000064,TRUE,https://raw.githubusercontent.com/ShaheenHossain/food_images/master/14.2_Prince_Honey_250gm.jpg
,Prince Honey 125 gm,45,55,802565000065,TRUE,https://raw.githubusercontent.com/ShaheenHossain/food_images/master/14.3_Prince_Honey_125gm.jpg
,Prince Honey 50 gm,26,32,802565000066,TRUE,https://raw.githubusercontent.com/ShaheenHossain/food_images/master/14.4_Prince_Honey_50gm.jpg
,Prince Ishubgular vushi 50 gmn,38,45,802565000067,TRUE,https://raw.githubusercontent.com/ShaheenHossain/food_images/master/15.1_Prince_Ishubgular_vushi_50gm.jpg
,Prince Ishubgular vushi 25 gmn,20,25,802565000068,TRUE,https://raw.githubusercontent.com/ShaheenHossain/food_images/master/15.2_Prince_Ishubgular_vushi_25gm.jpg
,prince Golap jall 180 ml,12,15,802565000069,TRUE,https://raw.githubusercontent.com/ShaheenHossain/food_images/master/16.1_Prince_Golap_jall_180_ml.jpg
,Prince Baking Powder 150 gm,48,60,802565000070,TRUE,https://raw.githubusercontent.com/ShaheenHossain/food_images/master/17.1_Prince_Baking_Powder_150gm.jpg
,Prince Custard Powder 150 gm,48,60,802565000071,TRUE,https://raw.githubusercontent.com/ShaheenHossain/food_images/master/17.2_Prince_Custard_Powder_150gm.jpg
,Prince Cornflour 150 gm,48,60,802565000072,TRUE,https://raw.githubusercontent.com/ShaheenHossain/food_images/master/17.3_Prince_Cornflour_150gm.jpg
,Prince Icing Sugar 150 gm,56,70,802565000073,TRUE,https://raw.githubusercontent.com/ShaheenHossain/food_images/master/17.4_Prince_Icing_Sugar_150gm.jpg
,Prince Custard(Dora) Cake-Vanilla,7.5,10,802565000074,TRUE,https://raw.githubusercontent.com/ShaheenHossain/food_images/master/18.1_Prince_DoraCake_Vanilla_Custard.jpg
,Prince Custard(Dora) Cake-Chocolate,7.5,10,802565000075,TRUE,https://raw.githubusercontent.com/ShaheenHossain/food_images/master/18.2_Prince_DoraCake_Chocolate_Custard.jpg
,Dora Cake ( 20 pcs in Box),7.25,10,802565000076,TRUE,https://raw.githubusercontent.com/ShaheenHossain/food_images/master/18.3_Prince_Dora_Cake_20pcs_in_Box.jpg
,Prince Dora Soft Cake,4,5,802565000077,TRUE,https://raw.githubusercontent.com/ShaheenHossain/food_images/master/18.4_Prince_Dora_Soft_Cake_20gm.jpg
,Prince Cup Cake,6.5,8,802565000078,TRUE,https://raw.githubusercontent.com/ShaheenHossain/food_images/master/18.5_Prince_Doremi_Cup_Cake_35gm.jpg
